"aguascalientes","as","01","21.87945992","-102.2904135"
"baja california","bc","02","30.76405113","-116.0092603"
"baja california sur","bs","03","26.01333335","-111.3516635"
"campeche","cc","04","18.65365928","-91.82448019"
"chiapas","cs","07","28.32998781","-100.8499789"
"chihuahua","ch","08","18.92038129","-103.8799748"
"coahuila","cl","05","16.74999697","-92.63337447"
"colima","cm","06","26.93335472","-105.6666358"
"distrito federal","df","09","19.44244244","-99.1309882"
"durango","dg","10","25.57005292","-103.5000238"
"guanajuato","gt","11","20.67001609","-101.4999909"
"guerrero","gr","12","17.54997398","-99.5000096"
"hidalgo","hg","13","20.17043418","-98.73003076"
"jalisco","jc","14","19.77001935","-104.3699966"
"estado de méxico","mc","09","19.41001548","-99.02998661"
"michoacán","mn","16","19.67997316","-100.569996"
"morelos","ms","17","18.92110476","-99.23999964"
"nayarit","nt","18","21.81999758","-105.2200481"
"nuevo león","nl","19","25.1899986","-99.83998885"
"oaxaca","oc","20","16.42999066","-95.01999882"
"puebla","pl","21","18.90002077","-98.44999618"
"querétaro","qt","22","20.37998212","-100.0000308"
"quintana roo","qr","23","21.20839057","-86.7114549"
"san luis potosí","sp","24","22.00001243","-99.66999923"
"sinaloa","sl","25","23.19999086","-106.2300381"
"sonora","sr","26","27.58000775","-109.9299931"
"tabasco","tc","27","18.40002545","-93.22997888"
"tamaulipas","ts","28","22.73335268","-98.95001734"
"tlaxcala","tl","29","19.31999514","-98.2300096"
"veracruz","vz","30","17.93997601","-94.73999007"
"yucatán","yn","31","21.09998985","-89.27998743"
"zacatecas","zs","32","22.35001691","-102.88001"
"NACIONAL","nac","33","19.44244244","-99.1309882"
